Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Total_Spending,Age,Customer_Tenure,Children,Purchase_Frequency,Campaign_Engagement,Customer_Value_Score,Deal_Engagement,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Household_Type_Partner
42429.0,99,55,0,6,2,0,4,1,1,3,5,0,67,53,12.5,1,5,0,0.06028439153439153,2,0,1,0,0,0
48948.0,53,437,8,206,160,49,42,7,10,5,6,0,902,83,13.5,0,22,2,0.48115079365079366,2,0,0,0,1,0
80011.0,3,421,76,536,82,178,102,8,6,5,4,0,1395,46,13.2,1,19,0,0.3817791005291005,2,0,1,0,0,1
20559.0,88,13,1,29,3,0,7,2,0,3,8,0,53,41,13.4,1,5,0,0.058432539682539676,2,0,0,1,0,1
21994.0,4,9,0,6,3,1,3,0,0,3,5,0,22,69,13.6,1,3,0,0.03349867724867725,1,0,1,0,0,1
51381.5,80,81,11,50,3,2,39,1,3,4,2,0,186,67,12.7,0,8,0,0.10727513227513226,1,0,0,0,1,0
7500.0,19,3,1,10,3,2,12,2,0,3,5,0,31,51,12.8,1,5,0,0.05552248677248677,3,0,0,1,0,1
79941.0,72,123,164,266,227,30,174,2,4,9,1,0,984,50,12.1,0,15,0,0.2857473544973545,1,0,1,0,0,0
7500.0,24,3,18,14,15,22,50,3,1,3,9,0,122,30,13.7,0,7,1,0.1550595238095238,3,0,0,0,0,1
41728.0,92,13,6,15,3,5,13,2,0,2,10,0,55,58,13.2,1,4,0,0.04828042328042328,1,0,1,0,0,1
51381.5,96,48,5,48,6,10,7,2,1,4,6,0,124,75,12.6,3,7,0,0.08865740740740741,3,0,1,0,0,0
72550.0,39,826,50,317,50,38,38,5,2,12,8,0,1319,72,13.7,2,19,0,0.37172619047619043,9,0,0,0,1,1
65486.0,29,245,19,125,37,67,14,4,2,10,2,0,507,69,12.2,1,16,0,0.23306878306878306,1,0,1,0,0,0
79143.0,2,650,37,780,27,167,32,6,9,13,3,0,1693,62,14.0,0,28,0,0.5149470899470899,1,0,0,1,0,1
35790.0,54,12,6,20,30,1,3,2,0,3,7,0,72,49,13.6,1,5,0,0.06094576719576719,2,0,1,0,0,0
82582.0,54,510,120,550,156,40,241,4,9,7,1,0,1617,49,12.1,0,20,3,0.6215608465608465,1,0,1,0,0,0
66373.0,57,328,9,124,12,24,109,4,2,10,3,0,606,48,13.1,2,16,0,0.24616402116402117,7,0,1,0,0,1
82384.0,55,984,51,432,180,120,190,3,10,13,1,0,1957,71,13.7,0,26,2,0.6623677248677248,1,0,0,1,0,1
70287.0,30,295,35,482,121,120,40,5,5,10,3,0,1093,60,13.3,0,20,1,0.4189153439153439,1,0,1,0,0,0
27938.0,31,13,0,8,2,1,5,1,0,4,3,0,29,38,12.2,1,5,0,0.055257936507936506,1,0,1,0,0,0
51381.5,57,11,3,22,2,2,6,2,0,3,6,0,46,44,13.1,1,5,0,0.057506613756613756,2,0,1,0,0,0
55954.0,63,447,0,28,0,0,43,8,2,6,7,0,518,58,12.4,1,16,0,0.2345238095238095,3,0,0,0,1,1
75777.0,12,712,26,538,69,13,80,3,6,11,1,0,1438,44,13.1,0,20,3,0.5978835978835979,1,0,0,1,0,0
66653.0,18,452,18,102,16,18,6,4,2,12,3,0,612,51,13.9,2,18,0,0.2677910052910053,4,0,1,0,0,1
61823.0,26,523,7,134,37,14,169,8,2,10,7,0,884,74,13.4,1,20,0,0.3246031746031746,4,0,1,0,0,0
67680.0,8,546,0,48,0,6,6,7,3,8,5,0,606,75,13.1,1,18,0,0.2669973544973545,1,0,0,0,1,0
70666.0,29,398,40,367,119,122,30,7,4,4,4,0,1076,78,12.6,0,15,0,0.29791666666666666,1,0,1,0,0,1
25721.0,75,1,3,6,3,6,15,1,1,2,7,0,34,55,13.2,1,4,1,0.11216931216931218,1,0,1,0,0,1
32474.0,0,10,0,1,0,0,0,1,0,2,7,0,11,59,12.2,2,3,0,0.0320436507936508,1,0,1,0,0,1
88194.0,19,688,14,309,201,24,38,11,10,10,5,0,1274,47,12.4,1,31,3,0.6907738095238095,1,0,0,0,0,0
69096.0,4,247,49,159,7,82,109,5,2,10,4,0,653,68,12.8,1,17,0,0.26279761904761906,1,0,1,0,0,1
74854.0,90,856,59,487,58,29,73,2,5,5,5,0,1562,56,13.3,3,12,0,0.33095238095238094,7,0,1,0,0,1
66991.0,1,496,36,460,189,60,12,4,8,6,3,0,1253,72,13.9,0,18,0,0.3525793650793651,3,0,0,1,0,1
51381.5,25,25,3,43,17,4,17,3,0,3,8,0,109,53,13.9,1,6,0,0.07625661375661376,3,0,0,0,0,1
65031.0,29,258,107,291,84,37,86,10,3,13,7,0,863,67,13.4,1,26,0,0.38432539682539685,4,0,1,0,0,1
60631.0,88,565,6,65,0,6,19,9,2,8,7,0,661,51,13.3,2,19,1,0.35135582010582006,5,0,0,0,1,1
28332.0,58,14,10,13,4,15,9,2,1,4,2,0,65,74,12.2,0,7,0,0.08085317460317461,1,0,1,0,0,1
40246.0,68,2,1,6,2,1,1,1,0,2,6,0,13,49,13.6,1,3,0,0.03230820105820106,1,0,1,0,0,0
75251.0,34,721,111,925,97,18,18,7,6,5,5,0,1890,54,13.9,0,18,1,0.503505291005291,1,0,0,1,0,1
75825.0,40,1032,105,779,137,105,51,5,8,9,4,0,2209,50,13.8,0,22,2,0.6540343915343915,0,0,1,0,0,0
26326.0,12,1,0,5,0,3,9,0,0,3,3,1,18,50,12.9,0,3,0,0.03296957671957672,1,0,0,0,0,1
56046.0,9,577,0,64,0,0,51,10,1,8,8,0,692,61,13.6,0,19,2,0.42212301587301587,2,0,1,0,0,1
29760.0,87,64,4,68,7,5,17,3,1,4,8,0,165,41,13.9,1,8,0,0.10449735449735449,4,0,1,0,0,0
26304.0,5,4,1,5,2,0,4,1,0,2,7,0,16,57,13.1,1,3,0,0.03270502645502645,1,0,1,0,0,1
23559.0,87,25,5,19,7,0,23,3,0,3,7,0,79,53,13.1,1,6,0,0.07228835978835979,3,0,0,0,0,1
38620.0,56,112,17,44,34,22,89,2,5,3,3,0,318,63,13.2,0,10,0,0.14556878306878307,1,0,0,1,0,1
81361.0,18,163,23,424,27,65,76,3,10,13,1,0,778,39,12.4,0,26,0,0.37308201058201057,1,0,1,0,0,0
29440.0,95,17,8,14,10,4,3,1,0,4,7,0,56,66,13.0,2,5,0,0.058829365079365085,2,0,1,0,0,1
36138.0,48,130,0,16,0,0,5,3,1,4,7,0,151,56,13.0,2,8,1,0.1693121693121693,5,0,0,1,0,1
50388.0,3,292,6,37,0,3,34,6,1,6,7,0,372,69,12.2,1,13,3,0.3839616402116402,4,0,1,0,0,0
79593.0,70,350,60,568,110,133,145,5,6,7,2,0,1366,53,12.2,0,18,1,0.43419312169312163,1,0,1,0,0,1
54178.0,79,135,9,39,4,0,7,2,2,5,2,0,194,59,12.5,1,9,0,0.11875000000000001,1,0,1,0,0,1
51381.5,4,230,42,192,49,37,53,7,2,8,9,0,603,69,13.7,3,17,0,0.25618386243386243,12,0,0,0,1,1
51381.5,45,7,0,8,2,0,1,1,0,2,7,0,18,69,12.2,2,3,0,0.03296957671957672,1,0,1,0,0,0
51381.5,87,445,37,359,98,28,18,2,4,8,1,0,985,53,12.7,0,14,0,0.27546296296296297,1,0,0,1,0,1
42394.0,69,15,2,10,0,1,4,1,0,3,7,0,32,54,12.3,1,4,0,0.04523809523809524,1,0,0,1,0,0
23626.0,84,27,2,14,0,0,0,3,1,3,5,0,43,56,12.2,1,7,0,0.07794312169312169,3,0,0,0,1,1
30096.0,30,5,3,11,12,5,9,2,0,3,6,0,45,43,12.2,1,5,0,0.057374338624338626,1,0,1,0,0,1
47916.0,72,505,0,26,0,0,75,7,4,6,6,0,606,66,13.7,1,17,1,0.3232473544973545,5,0,1,0,0,0
51813.0,37,51,2,7,0,1,2,2,0,3,7,0,63,54,13.3,2,5,0,0.059755291005291006,2,0,1,0,0,0
78497.0,44,207,26,447,75,0,223,5,7,12,2,0,978,75,12.7,0,24,1,0.44537037037037036,1,0,0,0,0,1
50150.0,32,135,46,92,65,61,11,5,2,7,5,0,410,43,13.1,0,14,0,0.1994047619047619,2,0,0,0,1,1
47823.0,0,53,1,5,2,1,10,2,0,3,8,0,72,66,13.0,1,5,0,0.06094576719576719,2,0,0,0,0,0
34554.0,43,41,1,6,2,0,5,2,0,3,6,0,55,67,12.3,1,5,0,0.05869708994708994,2,0,0,0,1,0
85693.0,59,386,172,183,185,132,111,9,5,11,5,0,1169,47,13.3,1,25,0,0.41438492063492066,2,0,1,0,0,1
65846.0,68,562,81,276,80,40,81,6,3,6,4,0,1120,81,13.2,0,15,0,0.3037367724867725,1,0,0,0,1,1
87195.0,35,217,76,690,50,26,38,3,11,5,1,0,1097,67,12.2,0,19,1,0.40902777777777777,1,0,1,0,0,1
24594.0,94,1,3,6,10,0,9,1,0,3,5,0,29,47,12.6,1,4,0,0.04484126984126984,1,1,0,0,0,1
49096.0,15,144,1,32,2,1,7,4,1,4,7,0,187,62,12.8,2,9,0,0.11782407407407407,4,0,1,0,0,1
52413.0,56,295,106,271,75,98,65,6,4,12,6,0,910,57,13.5,2,22,0,0.3488756613756614,4,0,1,0,0,1
38557.0,17,76,3,31,4,4,27,3,1,3,7,0,145,48,13.6,1,7,0,0.09143518518518519,2,0,1,0,0,0
89058.0,18,454,194,106,31,22,43,5,4,4,2,0,850,66,13.6,0,13,0,0.24718915343915346,1,0,0,1,0,1
77298.0,46,425,115,292,23,35,79,6,6,11,3,0,969,47,12.7,1,23,0,0.36709656084656084,1,0,1,0,0,1
68126.0,40,1332,17,311,23,51,86,7,4,5,9,0,1820,35,13.7,0,16,2,0.540079365079365,1,0,0,0,1,0
57288.0,27,527,0,21,0,0,60,8,1,8,6,0,608,63,12.1,1,17,1,0.3235119047619048,3,0,0,1,0,1
86037.0,95,490,44,125,29,20,22,6,7,11,3,0,730,35,13.6,0,24,3,0.545899470899471,1,0,1,0,0,0
43974.0,19,378,0,101,0,0,72,6,4,6,7,0,551,46,13.6,1,16,0,0.2388888888888889,5,0,0,0,1,1
50785.0,27,64,1,21,0,1,27,2,1,3,6,0,114,64,12.9,2,6,0,0.07691798941798943,2,0,1,0,0,0
90765.0,25,547,99,812,151,82,33,4,6,5,1,0,1724,56,12.5,0,15,2,0.5169642857142858,0,0,1,0,0,1
36550.0,74,47,90,94,123,103,120,9,1,5,9,0,577,48,13.4,1,15,0,0.23191137566137565,5,0,0,0,0,1
30753.0,85,12,5,25,0,9,30,1,1,3,5,0,81,59,13.0,2,5,0,0.062136243386243385,2,0,0,0,0,1
21918.0,37,1,6,7,11,5,3,2,0,3,6,0,33,57,12.7,1,5,0,0.05578703703703703,2,0,1,0,0,1
56129.0,65,320,48,133,39,72,48,6,2,10,4,0,660,73,13.1,1,18,0,0.27414021164021163,4,0,0,1,0,1
32557.0,13,34,3,29,0,4,10,2,1,3,5,0,80,59,12.4,1,6,1,0.1390873015873016,3,0,0,1,0,0
19510.0,63,9,0,7,3,4,7,1,0,3,7,0,30,41,12.9,2,4,0,0.04497354497354497,2,0,0,1,0,1
30992.0,83,17,0,14,7,3,2,1,0,3,7,0,43,50,13.3,1,4,0,0.046693121693121696,1,0,1,0,0,0
101970.0,69,722,27,102,44,72,168,6,8,13,2,0,1135,43,13.4,0,27,4,0.6973875661375661,0,0,1,0,0,0
71488.0,87,162,33,124,40,28,172,3,4,7,1,0,559,61,13.4,0,14,0,0.21911375661375662,2,0,0,0,0,1
79607.0,37,450,133,951,173,0,216,3,6,6,1,0,1923,42,13.3,0,15,1,0.47662037037037036,1,0,1,0,0,0
54348.0,51,70,0,16,0,0,4,2,0,4,6,0,90,73,12.1,2,6,0,0.07374338624338624,2,0,0,1,0,1
51381.5,23,352,0,27,10,0,15,6,1,7,6,0,404,65,13.0,1,14,0,0.1986111111111111,3,0,0,0,1,1
77376.0,72,492,19,110,16,12,12,6,3,10,4,0,661,70,12.2,2,19,0,0.2846891534391534,4,0,0,0,1,1
62998.0,10,120,58,73,65,89,58,5,4,5,5,0,463,74,12.8,1,14,0,0.2064153439153439,5,0,1,0,0,1
61331.0,42,534,5,47,0,5,41,11,1,6,8,0,632,68,13.4,2,18,0,0.2704365079365079,5,0,0,1,0,0
73448.0,10,236,106,189,23,41,130,7,2,9,4,0,725,57,12.5,0,18,0,0.28273809523809523,1,0,1,0,0,1
51381.5,96,231,65,196,38,71,124,6,5,7,4,0,725,63,13.0,1,18,0,0.28273809523809523,1,0,1,0,0,1
41551.0,51,220,0,33,3,0,23,5,1,5,8,0,279,62,13.0,2,11,0,0.1508267195767196,5,0,0,0,1,1
62981.0,21,796,14,590,38,44,0,4,5,13,3,0,1482,59,13.4,0,22,1,0.49120370370370375,1,0,0,0,1,1
9548.0,31,0,1,3,10,6,9,1,0,3,8,0,29,50,14.0,1,4,0,0.04484126984126984,2,1,0,0,0,0
33762.0,61,53,1,34,2,0,16,2,2,2,8,0,106,67,13.1,3,6,0,0.07585978835978836,3,0,0,0,1,1
35860.0,37,15,0,8,4,2,20,1,1,2,5,0,49,53,12.2,2,4,2,0.18082010582010585,2,0,0,0,1,0
36921.0,74,17,1,12,3,1,4,2,0,3,7,0,38,61,13.0,2,5,0,0.0564484126984127,2,0,0,0,1,0
92859.0,46,962,61,921,52,61,20,5,4,12,2,0,2077,34,13.8,0,21,0,0.4928240740740741,1,0,0,1,0,0
65104.0,4,738,0,232,13,20,50,3,5,7,7,0,1053,50,12.7,1,15,1,0.3615410052910053,2,0,0,1,0,1
86111.0,73,399,28,756,36,40,126,5,7,10,2,0,1385,64,13.3,0,22,0,0.41170634920634924,1,0,1,0,0,1
68352.0,47,614,16,132,43,33,33,8,5,9,6,0,871,52,12.9,1,22,0,0.34371693121693125,3,0,0,0,1,0
41883.0,13,32,34,41,73,16,116,4,2,3,7,0,312,38,13.4,1,9,0,0.13435846560846562,3,0,1,0,0,1
59809.0,36,598,16,141,32,41,49,3,3,6,8,0,877,50,13.8,2,12,0,0.24034391534391533,3,0,1,0,0,1
23957.0,47,2,1,18,20,11,16,2,0,3,6,0,68,51,13.7,1,5,1,0.12708333333333333,1,0,1,0,0,1
38547.0,49,6,1,10,0,1,4,1,0,2,8,1,22,45,12.9,1,3,0,0.03349867724867725,1,0,1,0,0,1
35688.0,94,73,3,90,12,1,32,4,1,4,8,0,211,53,13.9,3,9,0,0.12099867724867724,7,0,0,0,0,1
49605.0,65,42,16,29,12,20,8,2,1,4,3,0,127,60,12.1,0,7,0,0.0890542328042328,1,0,0,1,0,1
59354.0,59,295,21,78,39,13,13,4,4,7,3,0,459,73,12.3,2,15,0,0.21630291005291005,1,0,0,1,0,1
65747.0,96,346,17,48,23,13,13,8,1,6,6,0,460,57,12.4,1,15,1,0.2831018518518518,4,0,1,0,0,1
46344.0,28,233,20,57,8,20,91,7,1,5,7,0,429,54,13.6,1,13,0,0.19150132275132278,4,0,0,0,0,1
34176.0,12,5,7,24,19,14,20,3,0,4,6,0,89,38,12.2,1,7,0,0.08402777777777777,4,0,1,0,0,0
61010.0,57,888,0,57,0,0,76,8,5,11,5,0,1021,74,13.8,1,24,0,0.38439153439153434,2,0,0,0,1,1
69372.0,10,997,26,269,34,13,42,10,4,6,4,0,1381,77,13.4,0,20,3,0.5903439153439154,1,0,1,0,0,1
49967.0,4,212,6,69,4,12,3,6,1,5,7,0,306,68,13.1,1,12,0,0.16481481481481483,3,0,1,0,0,0
60199.0,49,8,1,7,2,0,0,0,0,3,4,0,18,48,12.9,3,3,0,0.03296957671957672,1,0,1,0,0,0
55375.0,3,42,11,57,10,28,14,1,1,6,2,0,162,49,12.8,1,8,0,0.1041005291005291,1,0,1,0,0,1
80317.0,64,536,11,387,149,91,57,3,4,10,1,0,1231,71,12.9,0,17,0,0.3392526455026455,1,0,1,0,0,0
30523.0,0,5,0,3,0,0,5,1,0,2,7,0,13,68,13.1,3,3,0,0.03230820105820106,1,0,0,1,0,0
70356.0,20,1349,16,249,43,16,33,10,6,9,6,0,1706,81,13.7,0,25,0,0.48541666666666666,2,0,0,0,1,1
23228.0,91,53,3,49,7,4,5,3,0,4,8,0,121,42,12.6,1,7,0,0.08826058201058201,4,0,1,0,0,1
74165.0,9,1001,12,240,16,12,12,5,4,10,2,0,1293,51,13.2,0,19,0,0.368287037037037,1,0,0,0,1,0
157243.0,98,20,2,1582,1,2,1,0,22,0,0,0,1608,53,12.4,1,22,0,0.4412037037037037,15,0,0,0,1,1
43482.0,83,18,1,32,6,3,28,2,0,4,6,0,88,60,12.7,3,6,0,0.07347883597883598,3,0,1,0,0,1
62551.0,27,125,16,98,134,21,27,6,7,4,3,0,421,73,12.7,0,17,1,0.29877645502645506,1,0,1,0,0,0
52332.0,63,212,5,33,7,0,2,3,2,6,4,0,259,67,12.9,0,11,1,0.21484788359788362,1,0,1,0,0,0
66951.0,46,277,162,305,173,76,124,3,4,7,1,0,1117,38,12.7,0,14,0,0.2929232804232804,1,0,1,0,0,0
26091.0,84,15,10,19,8,17,20,2,1,3,5,0,89,69,12.4,2,6,0,0.07361111111111111,3,0,1,0,0,1
33456.0,58,7,3,10,8,1,7,1,0,3,7,0,36,61,12.3,2,4,0,0.04576719576719577,2,0,1,0,0,1
28718.0,78,12,4,6,11,8,16,2,0,3,8,0,57,44,13.0,1,5,0,0.058961640211640215,2,0,1,0,0,1
50447.0,4,85,7,24,2,3,27,3,1,3,6,0,148,56,12.3,2,7,0,0.09183201058201058,1,0,1,0,0,1
53537.0,17,81,0,6,0,0,6,2,1,3,5,0,93,67,12.5,2,6,0,0.07414021164021163,2,0,0,0,1,1
52074.0,77,59,0,12,0,0,48,2,2,2,4,0,119,59,12.3,1,6,1,0.14424603174603176,1,0,1,0,0,0
80427.0,56,1149,71,449,69,71,26,11,8,8,5,0,1835,51,13.9,1,27,0,0.5233134920634921,1,0,0,0,1,1
83837.0,79,847,66,119,86,89,111,9,10,5,4,0,1318,78,13.6,0,24,3,0.6236772486772487,1,0,0,0,1,1
38853.0,90,29,0,14,0,0,2,2,0,3,7,0,45,56,12.2,2,5,0,0.057374338624338626,2,0,0,0,1,1
38285.0,96,2,0,5,2,0,1,0,0,3,2,0,10,67,12.1,3,3,0,0.03191137566137566,1,0,1,0,0,1
78497.0,44,207,26,447,75,0,223,5,7,12,2,0,978,75,12.7,0,24,1,0.44537037037037036,1,0,0,0,0,1
51650.0,81,152,3,22,2,5,7,4,1,4,5,0,191,50,12.2,1,9,0,0.11835317460317459,1,0,0,0,1,1
16248.0,77,12,11,10,3,12,9,2,1,3,6,0,57,38,12.2,1,6,0,0.06937830687830689,3,0,0,0,0,1
66835.0,21,620,26,195,34,17,141,6,4,13,2,0,1033,80,12.8,0,23,0,0.3755621693121693,1,0,0,1,0,1
30477.0,16,47,1,6,0,0,12,1,1,3,6,0,66,42,12.5,1,5,0,0.0601521164021164,1,0,0,1,0,1
28249.0,80,1,9,7,2,14,10,2,0,3,6,0,43,65,12.1,0,5,0,0.05710978835978836,1,1,0,0,0,1
25271.0,45,10,1,18,10,4,7,1,1,2,9,0,50,43,13.6,1,4,0,0.047619047619047616,1,0,1,0,0,1
32303.0,63,35,0,2,0,0,2,1,0,4,5,0,39,56,12.4,1,5,0,0.056580687830687836,2,0,0,0,1,0
61286.0,34,356,0,107,19,9,117,7,1,8,5,0,608,60,13.0,1,16,0,0.24642857142857144,2,0,1,0,0,1
74068.0,14,783,30,537,140,76,15,4,10,9,2,0,1581,50,13.4,0,23,0,0.4480489417989418,1,0,1,0,0,1
45759.0,13,42,1,18,3,0,4,2,0,3,7,0,68,62,13.4,2,5,0,0.06041666666666667,2,0,0,0,1,1
24882.0,52,1,4,10,29,0,36,1,1,2,6,0,80,48,13.9,1,4,1,0.11825396825396826,1,1,0,0,0,1
66973.0,98,466,22,432,147,113,102,8,7,12,3,0,1282,37,13.2,0,27,0,0.4501653439153439,1,0,0,0,1,1
36640.0,99,15,6,8,7,4,25,2,1,2,5,1,65,126,12.8,1,5,0,0.06001984126984127,1,0,0,0,0,0
38872.0,93,23,3,21,3,19,22,3,0,3,8,0,91,38,13.2,1,6,0,0.07387566137566137,2,0,1,0,0,1
51148.0,38,235,6,45,8,9,12,5,1,6,6,0,315,53,13.4,2,12,0,0.16600529100529102,4,0,1,0,0,1
31353.0,24,10,0,10,3,1,7,1,1,2,8,0,31,49,12.6,2,4,0,0.0451058201058201,2,0,1,0,0,1
69661.0,80,656,16,106,32,16,8,7,3,12,3,0,834,46,12.2,0,22,0,0.3388227513227513,1,0,0,1,0,1
80067.0,82,519,17,813,27,173,51,4,6,6,2,0,1600,72,12.9,0,16,1,0.44431216931216927,1,0,1,0,0,1
86718.0,20,344,189,482,50,33,172,5,6,5,2,0,1270,72,13.5,0,16,0,0.333994708994709,1,0,1,0,0,1
46854.0,81,96,1,79,7,1,79,5,1,3,8,0,263,53,12.3,2,9,2,0.2612103174603175,6,0,0,0,1,0
69142.0,50,448,4,34,6,4,39,8,1,7,5,0,535,74,12.1,1,16,1,0.30343915343915345,3,0,1,0,0,0
75922.0,60,265,138,553,224,23,92,4,4,9,1,0,1295,58,12.6,0,17,0,0.34771825396825395,1,0,1,0,0,0
63693.0,63,587,43,337,42,87,54,11,6,9,6,0,1150,48,12.8,1,26,0,0.42228835978835977,3,0,1,0,0,0
102160.0,54,763,29,138,76,176,58,7,9,10,4,0,1240,49,13.7,0,26,4,0.7008597883597885,0,0,0,0,1,1
40637.0,72,22,0,13,0,0,3,1,0,3,7,0,38,61,13.0,2,4,0,0.046031746031746035,2,0,0,0,1,0
18890.0,5,6,4,1,7,2,15,0,1,2,6,0,35,42,13.7,0,3,2,0.16855158730158729,1,0,0,1,0,0
29604.0,88,7,6,13,7,6,14,1,0,3,9,0,53,38,12.6,1,4,1,0.11468253968253968,1,0,1,0,0,1
48721.0,50,81,18,113,47,13,21,4,2,5,6,0,293,63,13.2,2,11,0,0.15267857142857144,6,0,0,1,0,0
44794.0,99,54,0,7,0,0,4,2,0,3,6,0,65,60,12.1,1,5,0,0.06001984126984127,1,0,1,0,0,1
64497.0,17,1170,48,320,42,32,192,11,4,9,8,0,1804,72,13.9,1,24,2,0.6212962962962963,5,0,1,0,0,0
46097.0,11,72,24,68,65,4,8,3,1,6,4,0,241,70,13.3,1,10,0,0.13538359788359788,5,0,1,0,0,1
